date,platform,post_type,impressions,reach,likes,comments,shares
2024-05-15,Instagram,carousel,4274,3595,168,25,17
2024-05-15,TikTok,video,39635,27146,646,97,65
2024-05-15,LinkedIn,carousel,5294,4242,210,32,21
2024-05-15,X,text,30369,24629,750,113,75
2024-05-16,Instagram,video,32398,21631,833,125,83
2024-05-16,TikTok,carousel,2534,1406,98,15,9
2024-05-16,LinkedIn,text,27440,16796,561,84,56
2024-05-16,X,photo,10484,8893,230,34,23
2024-05-17,Instagram,carousel,14343,11217,306,46,30
2024-05-17,TikTok,video,28583,23333,1138,171,114
2024-05-17,LinkedIn,carousel,27332,22833,540,81,54
2024-05-17,X,video,13627,7965,443,66,45
2024-05-18,Instagram,carousel,22536,17311,498,75,49
2024-05-18,TikTok,video,26637,15395,620,93,62
2024-05-18,LinkedIn,carousel,38970,24790,939,141,94
2024-05-18,X,text,34024,20933,1351,203,135
2024-05-19,Instagram,text,38890,26078,1369,205,137
2024-05-19,TikTok,video,34135,20330,1250,188,125
2024-05-19,LinkedIn,text,35526,20854,1132,170,113
2024-05-19,X,video,15170,10313,550,82,55
2024-05-20,Instagram,video,14184,11185,464,70,46
2024-05-20,TikTok,text,10475,6971,313,47,31
2024-05-20,LinkedIn,video,26730,17701,828,124,83
2024-05-20,X,carousel,23210,15201,593,89,59
2024-05-21,Instagram,text,3440,1960,86,13,8
2024-05-21,TikTok,carousel,10390,6423,255,38,26
2024-05-21,LinkedIn,video,4237,2674,104,16,10
2024-05-21,X,carousel,2308,1496,54,8,6
2024-05-22,Instagram,carousel,35293,28358,1327,199,133
2024-05-22,TikTok,text,15321,10912,297,45,29
2024-05-22,LinkedIn,carousel,39007,29334,1239,186,124
2024-05-22,X,video,24026,19051,878,132,87
2024-05-23,Instagram,carousel,19366,13858,357,54,35
2024-05-23,TikTok,video,30794,25496,1223,183,123
2024-05-23,LinkedIn,carousel,36673,24426,676,101,68
2024-05-23,X,photo,4695,3474,175,26,18
2024-05-24,Instagram,text,33651,25609,986,148,99
2024-05-24,TikTok,text,31792,17845,609,91,61
2024-05-24,LinkedIn,text,24925,17216,436,65,44
2024-05-24,X,text,30798,20117,497,75,49
2024-05-25,Instagram,text,3878,2397,126,19,13
2024-05-25,TikTok,photo,22133,18092,371,56,37
2024-05-25,LinkedIn,carousel,22881,16331,802,120,80
2024-05-25,X,video,38333,26936,1135,170,114
2024-05-26,Instagram,video,28895,22613,1058,159,105
2024-05-26,TikTok,video,17845,10786,481,72,48
2024-05-26,LinkedIn,text,24458,14353,675,101,68
2024-05-26,X,photo,24197,13507,827,124,83
2024-05-27,Instagram,text,22036,12354,541,81,54
2024-05-27,TikTok,text,30539,22210,874,131,88
2024-05-27,LinkedIn,photo,19755,16188,471,71,47
2024-05-27,X,photo,29560,20199,938,141,93
2024-05-28,Instagram,video,36505,20558,1048,157,105
2024-05-28,TikTok,video,12784,7434,446,67,45
2024-05-28,LinkedIn,photo,16421,9400,490,74,49
2024-05-28,X,carousel,9237,5809,212,32,21
2024-05-29,Instagram,photo,20741,14508,737,111,73
2024-05-29,TikTok,text,31487,20366,711,107,71
2024-05-29,LinkedIn,photo,23033,17319,710,107,71
2024-05-29,X,video,5065,3175,167,25,17
2024-05-30,Instagram,photo,29803,17017,1049,157,105
2024-05-30,TikTok,photo,23259,18166,687,103,69
2024-05-30,LinkedIn,carousel,32472,26075,535,80,54
2024-05-30,X,photo,15277,11985,259,39,26
2024-05-31,Instagram,text,18736,14331,436,65,44
2024-05-31,TikTok,text,5797,3558,210,32,21
2024-05-31,LinkedIn,text,5295,3195,161,24,16
2024-05-31,X,carousel,15878,9163,465,70,46
2024-06-01,Instagram,carousel,15955,13529,415,62,42
2024-06-01,TikTok,text,23258,19535,923,138,93
2024-06-01,LinkedIn,text,5113,2850,143,21,15
2024-06-01,X,photo,20019,14871,666,100,66
2024-06-02,Instagram,photo,30612,20213,919,138,92
2024-06-02,TikTok,video,15631,9599,468,70,47
2024-06-02,LinkedIn,photo,29966,23655,639,96,64
2024-06-02,X,video,23372,15795,530,79,53
2024-06-03,Instagram,video,35974,25513,1135,170,114
2024-06-03,TikTok,text,30117,19382,502,75,50
2024-06-03,LinkedIn,carousel,33693,21493,1122,168,112
2024-06-03,X,video,25508,15817,590,88,59
2024-06-04,Instagram,carousel,28799,21965,1102,165,110
2024-06-04,TikTok,photo,14497,8444,434,65,43
2024-06-04,LinkedIn,carousel,23314,19794,622,93,62
2024-06-04,X,carousel,13265,7474,288,43,29
2024-06-05,Instagram,text,12712,10722,286,43,28
2024-06-05,TikTok,carousel,28514,17839,742,111,74
2024-06-05,LinkedIn,text,4400,2950,114,17,11
2024-06-05,X,video,20133,12702,329,49,33
2024-06-06,Instagram,text,19575,14141,369,55,37
2024-06-06,TikTok,video,37244,26143,1227,184,123
2024-06-06,LinkedIn,text,2451,1580,54,8,5
2024-06-06,X,photo,33619,19459,582,87,59
2024-06-07,Instagram,text,16868,10336,503,75,51
2024-06-07,TikTok,photo,8471,4815,270,40,27
2024-06-07,LinkedIn,video,8269,4994,190,28,19
2024-06-07,X,carousel,16628,13108,415,62,42
2024-06-08,Instagram,text,5059,3356,137,21,13
2024-06-08,TikTok,video,10066,8092,306,46,30
2024-06-08,LinkedIn,photo,37334,24733,1153,173,115
2024-06-08,X,photo,4837,2705,149,22,15
2024-06-09,Instagram,video,38984,29342,978,147,98
2024-06-09,TikTok,carousel,3355,2693,55,8,6
2024-06-09,LinkedIn,text,37177,26445,708,106,71
2024-06-09,X,video,14069,8496,274,41,27
2024-06-10,Instagram,carousel,21215,12360,734,110,74
2024-06-10,TikTok,photo,16502,11025,521,78,52
2024-06-10,LinkedIn,text,22760,18472,680,102,68
2024-06-10,X,video,23670,17529,422,63,42
2024-06-11,Instagram,text,27444,18447,442,66,45
2024-06-11,TikTok,text,13876,9812,396,59,40
2024-06-11,LinkedIn,carousel,21846,15042,707,106,71
2024-06-11,X,carousel,35879,21081,886,133,89
2024-06-12,Instagram,video,23850,15527,607,91,61
2024-06-12,TikTok,photo,31433,19582,523,78,53
2024-06-12,LinkedIn,carousel,20375,14771,398,60,39
2024-06-12,X,text,21209,11809,771,116,77
2024-06-13,Instagram,photo,2478,1372,58,9,5
2024-06-13,TikTok,video,8085,6546,318,48,32
2024-06-13,LinkedIn,photo,21841,12125,738,111,73
2024-06-13,X,text,15819,11828,378,57,38
2024-06-14,Instagram,carousel,2615,1602,52,8,5
2024-06-14,TikTok,video,35084,22638,1118,168,111
2024-06-14,LinkedIn,text,30665,20199,758,114,76
2024-06-14,X,video,28891,21398,892,134,89
2024-06-15,Instagram,photo,18161,13674,557,84,55
2024-06-15,TikTok,text,35383,24275,1358,204,135
2024-06-15,LinkedIn,carousel,35570,23266,655,98,66
2024-06-15,X,photo,26000,15369,798,120,79
2024-06-16,Instagram,photo,19006,13021,513,77,51
2024-06-16,TikTok,carousel,13023,8596,285,43,28
2024-06-16,LinkedIn,text,30960,18345,710,107,71
2024-06-16,X,video,26495,16509,639,96,64
2024-06-17,Instagram,carousel,10406,6237,371,56,37
2024-06-17,TikTok,video,36507,27776,1221,183,122
2024-06-17,LinkedIn,video,38288,28783,1143,171,115
2024-06-17,X,photo,10871,6774,185,28,18
2024-06-18,Instagram,text,16360,10787,321,48,32
2024-06-18,TikTok,video,32166,27056,702,105,70
2024-06-18,LinkedIn,carousel,13435,11146,535,80,54
2024-06-18,X,video,18146,15128,386,58,39
2024-06-19,Instagram,video,24977,19874,587,88,59
2024-06-19,TikTok,carousel,33544,27063,900,135,90
2024-06-19,LinkedIn,text,20088,12816,322,48,32
2024-06-19,X,video,15231,12906,505,76,50
2024-06-20,Instagram,carousel,9860,7886,309,46,31
2024-06-20,TikTok,video,12767,9070,473,71,47
2024-06-20,LinkedIn,photo,23109,18405,683,102,69
2024-06-20,X,photo,32312,19396,1095,164,110
2024-06-21,Instagram,text,27477,19727,1096,164,110
2024-06-21,TikTok,photo,15921,13456,623,93,63
2024-06-21,LinkedIn,carousel,23913,17362,506,76,51
2024-06-21,X,text,32218,24679,1286,193,128
2024-06-22,Instagram,text,10533,6788,381,57,38
2024-06-22,TikTok,photo,32427,20703,631,95,63
2024-06-22,LinkedIn,video,5844,4927,109,16,11
2024-06-22,X,photo,7802,5846,249,37,25
2024-06-23,Instagram,carousel,17353,14157,397,60,39
2024-06-23,TikTok,carousel,16412,13880,614,92,62
2024-06-23,LinkedIn,text,31547,17434,570,85,57
2024-06-23,X,photo,3313,1920,94,14,9
2024-06-24,Instagram,video,25248,20312,510,76,51
2024-06-24,TikTok,video,22090,14230,778,117,77
2024-06-24,LinkedIn,photo,36346,26998,1229,184,123
2024-06-24,X,video,21773,15358,858,129,86
2024-06-25,Instagram,carousel,27898,22663,528,79,53
2024-06-25,TikTok,text,35133,25527,1090,164,109
2024-06-25,LinkedIn,video,39616,22895,1095,164,110
2024-06-25,X,carousel,8346,4901,166,25,17
2024-06-26,Instagram,video,18719,10571,565,85,56
2024-06-26,TikTok,video,32045,22269,796,119,80
2024-06-26,LinkedIn,text,14162,8393,430,65,43
2024-06-26,X,carousel,23723,14042,932,140,93
2024-06-27,Instagram,video,12246,7396,476,71,48
2024-06-27,TikTok,photo,39542,25874,937,141,93
2024-06-27,LinkedIn,carousel,21592,14801,506,76,50
2024-06-27,X,text,37488,21976,697,105,69
2024-06-28,Instagram,text,27503,16044,802,120,80
2024-06-28,TikTok,text,3921,2770,76,11,8
2024-06-28,LinkedIn,photo,5689,4624,205,31,20
2024-06-28,X,photo,25495,16075,522,78,52
2024-06-29,Instagram,video,33378,18713,1133,170,113
2024-06-29,TikTok,photo,2442,1817,92,14,9
2024-06-29,LinkedIn,text,3790,2965,103,15,11
2024-06-29,X,video,29250,22597,1007,151,101
2024-06-30,Instagram,photo,8001,6337,132,20,13
2024-06-30,TikTok,carousel,36697,30946,733,110,73
2024-06-30,LinkedIn,text,16162,10457,496,74,50
2024-06-30,X,text,25275,21263,667,100,67
2024-07-01,Instagram,photo,36116,22595,1433,215,143
2024-07-01,TikTok,video,15983,12132,274,41,28
2024-07-01,LinkedIn,photo,27371,21865,1014,152,101
2024-07-01,X,carousel,22492,18905,813,122,81
2024-07-02,Instagram,carousel,26458,18406,738,111,73
2024-07-02,TikTok,text,6688,4132,150,23,15
2024-07-02,LinkedIn,photo,27663,15560,516,77,52
2024-07-02,X,text,7593,5640,265,40,26
2024-07-03,Instagram,text,37128,22863,1190,179,119
2024-07-03,TikTok,text,25655,18252,547,82,55
2024-07-03,LinkedIn,photo,34335,23658,947,142,95
2024-07-03,X,photo,4416,2574,100,15,10
2024-07-04,Instagram,carousel,30964,17741,1225,184,122
2024-07-04,TikTok,photo,23561,16286,398,60,39
2024-07-04,LinkedIn,video,37115,27830,1068,160,107
2024-07-04,X,carousel,19323,10665,578,87,58
2024-07-05,Instagram,video,10922,8970,256,38,26
2024-07-05,TikTok,video,20292,11393,636,95,64
2024-07-05,LinkedIn,photo,19529,14260,425,64,42
2024-07-05,X,carousel,24569,19430,571,86,57
2024-07-06,Instagram,carousel,3448,1985,55,8,6
2024-07-06,TikTok,video,12319,9524,439,66,44
2024-07-06,LinkedIn,carousel,18287,15052,331,50,33
2024-07-06,X,photo,17682,10330,465,70,46
2024-07-07,Instagram,video,3854,3106,148,22,15
2024-07-07,TikTok,video,32072,26230,731,110,73
2024-07-07,LinkedIn,photo,30645,19094,578,87,57
2024-07-07,X,photo,4838,2680,125,19,12
2024-07-08,Instagram,photo,35690,26034,1077,162,107
2024-07-08,TikTok,photo,17314,14223,581,87,58
2024-07-08,LinkedIn,photo,35791,25761,577,87,57
2024-07-08,X,photo,22232,14528,461,69,46
2024-07-09,Instagram,text,20122,12205,367,55,37
2024-07-09,TikTok,video,22518,16615,850,127,85
2024-07-09,LinkedIn,text,16214,11218,300,45,30
2024-07-09,X,carousel,5457,3059,132,20,13
2024-07-10,Instagram,carousel,25308,16017,588,88,59
2024-07-10,TikTok,text,12240,9091,390,58,39
2024-07-10,LinkedIn,photo,17083,11971,490,74,49
2024-07-10,X,carousel,38878,26125,645,97,64
2024-07-11,Instagram,photo,21768,15975,790,118,79
2024-07-11,TikTok,carousel,34497,25085,570,85,57
2024-07-11,LinkedIn,text,15616,10686,326,49,32
2024-07-11,X,photo,35004,24393,670,100,67
2024-07-12,Instagram,text,17765,11694,371,56,37
2024-07-12,TikTok,text,14135,9777,312,47,31
2024-07-12,LinkedIn,photo,18463,13856,704,106,70
2024-07-12,X,carousel,21868,14224,514,77,51
2024-07-13,Instagram,carousel,4676,3142,161,24,16
2024-07-13,TikTok,carousel,2216,1861,84,13,8
2024-07-13,LinkedIn,carousel,7072,4748,186,28,18
2024-07-13,X,text,12398,8033,214,32,22
2024-07-14,Instagram,video,16370,12299,608,91,61
2024-07-14,TikTok,photo,7380,5696,282,42,28
2024-07-14,LinkedIn,photo,35074,20225,945,142,94
2024-07-14,X,video,25795,18008,865,130,86
2024-07-15,Instagram,text,36578,24795,1414,212,142
2024-07-15,TikTok,video,17231,13412,534,80,54
2024-07-15,LinkedIn,video,21647,16183,768,115,77
2024-07-15,X,photo,32905,26232,1053,158,105
2024-07-16,Instagram,text,20273,14822,536,80,54
2024-07-16,TikTok,video,19702,14475,718,108,71
2024-07-16,LinkedIn,text,38902,31533,1017,153,101
2024-07-16,X,photo,15595,11268,328,49,33
2024-07-17,Instagram,text,29044,16926,1156,173,116
2024-07-17,TikTok,carousel,24438,19399,962,144,96
2024-07-17,LinkedIn,photo,29250,21381,754,113,75
2024-07-17,X,carousel,26131,18982,910,136,91
2024-07-18,Instagram,photo,24469,14444,672,101,67
2024-07-18,TikTok,photo,8167,4742,323,48,33
2024-07-18,LinkedIn,carousel,16779,10183,321,48,32
2024-07-18,X,carousel,18549,13536,721,108,72
2024-07-19,Instagram,video,3491,2412,58,9,6
2024-07-19,TikTok,text,12078,9487,348,52,35
2024-07-19,LinkedIn,photo,14632,11163,331,50,33
2024-07-19,X,text,22030,15771,610,91,61
2024-07-20,Instagram,photo,19796,15735,384,58,38
2024-07-20,TikTok,carousel,11191,6246,186,28,19
2024-07-20,LinkedIn,text,8379,5394,315,47,32
2024-07-20,X,photo,10279,8473,269,40,27
2024-07-21,Instagram,photo,15182,8803,498,75,50
2024-07-21,TikTok,photo,11736,7056,371,56,37
2024-07-21,LinkedIn,photo,15392,10900,431,65,43
2024-07-21,X,photo,36897,31151,700,105,70
2024-07-22,Instagram,carousel,30938,24261,550,82,55
2024-07-22,TikTok,video,34529,19485,935,140,94
2024-07-22,LinkedIn,text,30221,21840,536,80,54
2024-07-22,X,video,28755,17511,701,105,70
2024-07-23,Instagram,text,39220,23566,773,116,77
2024-07-23,TikTok,carousel,22341,14239,590,89,59
2024-07-23,LinkedIn,photo,7969,6017,161,24,16
2024-07-23,X,text,35371,24362,827,124,83
2024-07-24,Instagram,text,2420,1866,64,10,6
2024-07-24,TikTok,carousel,13281,9890,382,57,38
2024-07-24,LinkedIn,carousel,37667,25186,1504,226,150
2024-07-24,X,video,22285,15270,746,112,75
2024-07-25,Instagram,text,8551,5802,150,22,15
2024-07-25,TikTok,video,10164,6491,348,52,35
2024-07-25,LinkedIn,video,21647,17650,561,84,56
2024-07-25,X,text,6435,5308,245,37,24
2024-07-26,Instagram,text,26613,22414,1004,151,100
2024-07-26,TikTok,photo,39892,23663,868,130,87
2024-07-26,LinkedIn,video,38922,24525,666,100,66
2024-07-26,X,carousel,39528,21852,1416,212,142
2024-07-27,Instagram,carousel,3969,2425,122,18,12
2024-07-27,TikTok,video,22823,13650,511,77,51
2024-07-27,LinkedIn,carousel,24554,20235,592,89,59
2024-07-27,X,text,39417,28642,727,109,73
2024-07-28,Instagram,video,39729,26100,1281,192,128
2024-07-28,TikTok,video,22149,16659,548,82,55
2024-07-28,LinkedIn,text,19036,14827,580,87,58
2024-07-28,X,carousel,39479,28030,789,118,79
2024-07-29,Instagram,carousel,26110,17480,732,110,73
2024-07-29,TikTok,video,37275,28230,919,138,92
2024-07-29,LinkedIn,video,37662,27867,690,103,69
2024-07-29,X,video,19986,11323,447,67,45
2024-07-30,Instagram,text,11826,7671,319,48,32
2024-07-30,TikTok,photo,25185,15423,670,101,67
2024-07-30,LinkedIn,carousel,15902,11296,281,42,28
2024-07-30,X,video,5482,3034,159,24,16
2024-07-31,Instagram,video,33452,23386,1298,195,129
2024-07-31,TikTok,text,35825,25311,760,114,76
2024-07-31,LinkedIn,video,20784,17559,754,113,75
2024-07-31,X,carousel,10158,6251,184,28,18
2024-08-01,Instagram,photo,22805,18789,625,94,62
2024-08-01,TikTok,video,5473,3903,190,28,19
2024-08-01,LinkedIn,carousel,6257,4024,230,34,23
2024-08-01,X,text,21225,16518,346,52,35
2024-08-02,Instagram,photo,18318,13155,596,89,60
2024-08-02,TikTok,photo,6120,3574,211,32,21
2024-08-02,LinkedIn,video,24580,20752,839,126,84
2024-08-02,X,text,20291,13039,572,86,57
2024-08-03,Instagram,photo,34412,26248,937,141,93
2024-08-03,TikTok,photo,38836,24940,1036,155,104
2024-08-03,LinkedIn,photo,19684,16133,509,76,51
2024-08-03,X,text,4735,3210,178,27,18
2024-08-04,Instagram,photo,6874,4251,270,40,27
2024-08-04,TikTok,carousel,17151,13321,574,86,57
2024-08-04,LinkedIn,text,38554,29576,636,95,64
2024-08-04,X,photo,9086,7413,306,46,30
2024-08-05,Instagram,video,4234,3467,138,21,14
2024-08-05,TikTok,video,16432,13729,371,56,37
2024-08-05,LinkedIn,photo,24604,14889,490,73,49
2024-08-05,X,text,12389,10462,438,66,43
2024-08-06,Instagram,photo,21133,16167,617,93,61
2024-08-06,TikTok,video,29253,21060,855,128,86
2024-08-06,LinkedIn,text,29051,19342,1054,158,106
2024-08-06,X,carousel,35589,28522,775,116,78
2024-08-07,Instagram,photo,37705,23335,1435,215,144
2024-08-07,TikTok,video,24771,19266,915,137,92
2024-08-07,LinkedIn,video,4288,2525,129,19,13
2024-08-07,X,carousel,10901,8375,323,48,33
2024-08-08,Instagram,carousel,2947,2348,98,15,9
2024-08-08,TikTok,carousel,8104,5653,223,33,23
2024-08-08,LinkedIn,carousel,15262,9401,409,61,41
2024-08-08,X,photo,31190,20707,1071,161,107
2024-08-09,Instagram,video,8099,4563,214,32,22
2024-08-09,TikTok,photo,3702,2969,113,17,11
2024-08-09,LinkedIn,text,32847,25733,642,96,65
2024-08-09,X,video,29336,18724,694,104,70
2024-08-10,Instagram,video,4015,3315,89,13,9
2024-08-10,TikTok,text,38727,24850,1099,165,110
2024-08-10,LinkedIn,text,31220,22381,551,83,55
2024-08-10,X,text,27621,15643,646,97,65
2024-08-11,Instagram,text,12538,7852,215,32,22
2024-08-11,TikTok,video,12420,7320,378,57,38
2024-08-11,LinkedIn,video,9236,5769,226,34,23
2024-08-11,X,carousel,7096,5263,189,28,19
2024-08-12,Instagram,video,33879,28368,935,140,94
2024-08-12,TikTok,photo,21486,15750,561,84,56
2024-08-12,LinkedIn,photo,11803,9338,460,69,46
2024-08-12,X,carousel,4959,3820,97,15,9
2024-08-13,Instagram,video,29985,19627,530,80,53
2024-08-13,TikTok,text,39462,26439,1358,204,135
2024-08-13,LinkedIn,carousel,37257,28751,1230,185,123
2024-08-13,X,text,21931,12375,663,99,67
2024-08-14,Instagram,text,21922,15140,470,71,47
2024-08-14,TikTok,video,14093,11284,472,71,47
2024-08-14,LinkedIn,carousel,20734,14202,522,78,52
2024-08-14,X,video,5626,4139,198,30,20
2024-08-15,Instagram,carousel,35247,23584,851,128,85
2024-08-15,TikTok,carousel,2709,1685,93,14,9
2024-08-15,LinkedIn,carousel,7550,5343,255,38,26
2024-08-15,X,carousel,23934,14126,777,117,77
2024-08-16,Instagram,photo,7376,5297,264,40,26
2024-08-16,TikTok,carousel,3600,2240,121,18,12
2024-08-16,LinkedIn,carousel,22576,12817,699,105,70
2024-08-16,X,text,20386,12658,372,56,37
2024-08-17,Instagram,text,36975,20854,772,116,77
2024-08-17,TikTok,video,15388,8810,251,38,25
2024-08-17,LinkedIn,carousel,15605,13086,620,93,62
2024-08-17,X,text,25540,20485,964,145,96
2024-08-18,Instagram,text,25315,20896,490,74,49
2024-08-18,TikTok,photo,20405,16801,573,86,57
2024-08-18,LinkedIn,carousel,34739,21971,1378,207,137
2024-08-18,X,video,26347,17990,470,70,47
2024-08-19,Instagram,carousel,39664,28035,1138,171,113
2024-08-19,TikTok,text,6067,3618,202,30,21
2024-08-19,LinkedIn,photo,19752,13713,322,48,32
2024-08-19,X,photo,25530,17384,839,126,84
2024-08-20,Instagram,carousel,30652,24278,888,133,89
2024-08-20,TikTok,carousel,24249,18885,889,133,89
2024-08-20,LinkedIn,carousel,13475,10719,468,70,47
2024-08-20,X,text,24960,16888,450,68,45
2024-08-21,Instagram,photo,5652,4174,185,28,18
2024-08-21,TikTok,carousel,22659,16252,822,123,83
2024-08-21,LinkedIn,text,31165,22681,782,117,78
2024-08-21,X,carousel,9027,6375,316,47,32
2024-08-22,Instagram,text,12150,6933,462,69,46
2024-08-22,TikTok,photo,18216,12956,467,70,47
2024-08-22,LinkedIn,video,5881,4097,142,21,14
2024-08-22,X,carousel,4020,3039,134,20,13
2024-08-23,Instagram,video,7123,5510,217,33,21
2024-08-23,TikTok,carousel,4421,2685,82,12,9
2024-08-23,LinkedIn,photo,37862,30882,1224,184,122
2024-08-23,X,carousel,23500,13064,462,69,46
2024-08-24,Instagram,text,30413,17861,978,147,98
2024-08-24,TikTok,video,10735,8502,297,45,29
2024-08-24,LinkedIn,photo,35898,21516,576,86,58
2024-08-24,X,photo,13670,7836,493,74,49
2024-08-25,Instagram,video,36102,28877,1147,172,115
2024-08-25,TikTok,text,9953,7831,162,24,17
2024-08-25,LinkedIn,carousel,4705,2625,134,20,13
2024-08-25,X,photo,26759,16225,447,67,45
2024-08-26,Instagram,video,27888,23472,935,140,94
2024-08-26,TikTok,photo,15578,13098,338,51,34
2024-08-26,LinkedIn,photo,28308,22368,546,82,55
2024-08-26,X,photo,14390,11205,427,64,43
2024-08-27,Instagram,photo,4459,3026,156,23,16
2024-08-27,TikTok,carousel,27199,22438,964,145,96
2024-08-27,LinkedIn,photo,25402,19761,720,108,72
2024-08-27,X,text,38959,28529,1501,225,150
2024-08-28,Instagram,carousel,18868,11448,539,81,54
2024-08-28,TikTok,carousel,13862,8674,405,61,40
2024-08-28,LinkedIn,carousel,36740,24956,694,104,70
2024-08-28,X,photo,29008,18029,685,103,68
2024-08-29,Instagram,text,9908,7380,266,40,26
2024-08-29,TikTok,text,11447,9604,326,49,33
2024-08-29,LinkedIn,video,18500,15218,430,65,43
2024-08-29,X,carousel,28599,17360,907,136,91
2024-08-30,Instagram,carousel,13488,11183,217,33,21
2024-08-30,TikTok,photo,30045,22939,537,81,53
2024-08-30,LinkedIn,video,15665,9403,380,57,38
2024-08-30,X,video,28694,18627,964,145,96
2024-08-31,Instagram,text,32006,19411,963,144,97
2024-08-31,TikTok,video,37329,22202,1438,216,143
2024-08-31,LinkedIn,text,31394,20790,903,135,91
2024-08-31,X,text,26523,15970,566,85,57
2024-09-01,Instagram,video,17727,14688,554,83,56
2024-09-01,TikTok,video,17931,11099,391,59,39
2024-09-01,LinkedIn,photo,10398,6344,220,33,22
2024-09-01,X,carousel,8962,5444,304,46,30
2024-09-02,Instagram,text,8154,5261,264,40,26
2024-09-02,TikTok,photo,32819,23186,1010,152,101
2024-09-02,LinkedIn,video,12319,7275,454,68,46
2024-09-02,X,text,11914,7003,462,69,47
2024-09-03,Instagram,text,33408,23335,862,129,86
2024-09-03,TikTok,photo,12668,8940,274,41,27
2024-09-03,LinkedIn,text,5099,4025,101,15,10
2024-09-03,X,video,27673,17732,808,121,81
2024-09-04,Instagram,carousel,23598,19260,786,118,79
2024-09-04,TikTok,text,7237,6056,268,40,27
2024-09-04,LinkedIn,text,38359,23963,1532,230,153
2024-09-04,X,video,26306,21901,680,102,68
2024-09-05,Instagram,carousel,20198,14253,718,108,71
2024-09-05,TikTok,carousel,16746,9807,670,100,67
2024-09-05,LinkedIn,text,36771,23597,1130,170,113
2024-09-05,X,text,15026,10395,456,68,46
2024-09-06,Instagram,photo,7424,4809,157,24,15
2024-09-06,TikTok,text,13247,7908,466,70,47
2024-09-06,LinkedIn,photo,11435,9209,351,53,35
2024-09-06,X,photo,21569,17327,575,86,58
2024-09-07,Instagram,video,9607,6632,354,53,35
2024-09-07,TikTok,text,38001,25423,850,127,85
2024-09-07,LinkedIn,text,5257,3126,89,13,9
2024-09-07,X,video,39568,31726,1216,182,122
2024-09-08,Instagram,carousel,36568,27135,744,112,74
2024-09-08,TikTok,photo,32854,24524,718,108,72
2024-09-08,LinkedIn,photo,38319,22859,1007,151,101
2024-09-08,X,photo,11923,7936,236,35,24
2024-09-09,Instagram,photo,28991,19313,533,80,53
2024-09-09,TikTok,video,13610,9727,385,58,38
2024-09-09,LinkedIn,text,15251,12187,572,86,57
2024-09-09,X,video,4186,3392,126,19,12
2024-09-10,Instagram,carousel,31803,21445,630,95,63
2024-09-10,TikTok,photo,15408,12222,551,83,55
2024-09-10,LinkedIn,carousel,12619,8654,254,38,26
2024-09-10,X,photo,35929,24546,1370,206,137
2024-09-11,Instagram,video,25546,20953,749,112,75
2024-09-11,TikTok,photo,38096,27803,1514,227,152
2024-09-11,LinkedIn,video,34286,28422,1109,166,111
2024-09-11,X,text,26117,17125,901,135,90
2024-09-12,Instagram,carousel,23751,18844,494,74,50
2024-09-12,TikTok,text,29605,23500,1130,170,113
2024-09-12,LinkedIn,video,32794,19148,990,149,99
2024-09-12,X,carousel,4491,2777,112,17,11
2024-09-13,Instagram,carousel,18314,11227,642,96,64
2024-09-13,TikTok,carousel,21325,14290,708,106,71
2024-09-13,LinkedIn,video,6738,3922,252,38,25
2024-09-13,X,photo,18936,12766,614,92,62
2024-09-14,Instagram,carousel,38874,28050,1438,216,144
2024-09-14,TikTok,carousel,35481,26715,1156,173,116
2024-09-14,LinkedIn,carousel,22142,16060,590,89,59
2024-09-14,X,carousel,4858,3070,126,19,13
2024-09-15,Instagram,video,22182,12834,830,125,83
2024-09-15,TikTok,video,30506,22562,833,125,83
2024-09-15,LinkedIn,video,5830,3378,100,15,10
2024-09-15,X,carousel,34564,24220,648,97,65
2024-09-16,Instagram,photo,23480,13019,526,79,52
2024-09-16,TikTok,photo,36419,22727,617,93,61
2024-09-16,LinkedIn,text,32807,21911,922,138,92
2024-09-16,X,video,34625,23650,734,110,73
2024-09-17,Instagram,photo,9877,8141,263,39,27
2024-09-17,TikTok,carousel,24193,19133,853,128,85
2024-09-17,LinkedIn,carousel,5627,4308,182,27,18
2024-09-17,X,text,35264,23585,658,99,66
2024-09-18,Instagram,photo,33721,18928,1326,199,133
2024-09-18,TikTok,text,3142,1913,99,15,10
2024-09-18,LinkedIn,photo,17775,10536,525,79,52
2024-09-18,X,text,39725,32940,833,125,83
2024-09-19,Instagram,text,25974,18987,761,114,76
2024-09-19,TikTok,text,4283,2676,70,11,7
2024-09-19,LinkedIn,carousel,33038,26711,797,120,79
2024-09-19,X,video,7645,4665,304,46,30
2024-09-20,Instagram,carousel,7590,4437,142,21,14
2024-09-20,TikTok,video,25722,14338,1008,151,101
2024-09-20,LinkedIn,photo,20879,14713,550,83,55
2024-09-20,X,photo,28438,17818,516,77,52
2024-09-21,Instagram,video,34889,26271,1268,190,127
2024-09-21,TikTok,text,16019,9465,336,50,34
2024-09-21,LinkedIn,carousel,15815,11063,476,71,48
2024-09-21,X,text,38660,25332,930,140,93
2024-09-22,Instagram,video,30927,19805,726,109,73
2024-09-22,TikTok,photo,9570,5441,199,30,20
2024-09-22,LinkedIn,photo,24792,15661,948,142,95
2024-09-22,X,video,33390,21021,1198,180,119
